count,date,title,description,org_link,link
1,2024-08-13 14:18:00,산업부 &quot;친환경 섬유 소재 개발·제조공정 친환경 전환 지원&quot;,"정부가 섬유산업에서 강화되는 글로벌 환경 규제에 대응하기 위해 친환경 섬유 소재 개발과 제조공정의 친환경 전환, <b>인공지능</b>(AI)을 활용한 자동화 등을 지원한다. 산업통상자원부는 13일 오후 서울 강남구... ",http://www.fnnews.com/news/202408131413177292,https://n.news.naver.com/mnews/article/014/0005227118?sid=101
2,2024-08-13 14:18:00,"[Today Pharm] LG화학, 영아용 6가 백신 'LR20062' 임상2상 본격화 外","사진/휴메딕스 ♢알피바이오, MZ세대 소통 위한 '생성형 AI' 콘텐츠 공개 알피바이오가 MZ세대 지원 국책사업인 '일경험 청년' 협업을 통해 생성형 <b>인공지능</b>(AI) 기술을 적용한 기업 홍보 콘텐츠를 공개했다.... ",http://www.press9.kr/news/articleView.html?idxno=59990,http://www.press9.kr/news/articleView.html?idxno=59990
3,2024-08-13 14:18:00,금융사도 생성형AI 활용…망분리 규제 개선,금융사도 챗GPT 등 생성형 <b>인공지능</b>과 '서비스형 소프트웨어' 등을 업무에 이용할 수 있게 됩니다. 금융위원회는 오늘(13일) 김병환 금융위원장 주재로 이런 내용의 '금융분야 망분리 개선 로드맵'을 발표했습니다. 김... ,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005313387,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005313387
4,2024-08-13 14:18:00,"[위클리오늘] 가평군, '<b>인공지능</b>' 투명페트병 무인회수기 운영","가평군은 투명페트병 분리배출 및 재활용을 높이기 위해 <b>인공지능</b>형 사물인터넷(AIoT) 기술이 도입된 '투명페트병 무인회수기'를 지난 8일부터 시범 운영하고 있다. 군은 투명페인트 적기 수거, 관리주체 등을 감안해... ",http://www.weeklytoday.com/news/articleView.html?idxno=644729,http://www.weeklytoday.com/news/articleView.html?idxno=644729
5,2024-08-13 14:17:00,"경기도남부자치경찰위원회, 90개 구간에 '후면 무인단속 장비, 신규 설치'",또 무인단속 장비의 AI(<b>인공지능</b>) 영상분석 기술 개발을 통해 경찰청과 도로교통공단을 중심으로 △교차로 꼬리물기 △우회전 일시 정지 위반 등 주민 교통안전 위해 요인에 대한 단속 범위 확대 기법도 연구되고... ,https://www.hankyung.com/article/202408130582h,https://n.news.naver.com/mnews/article/015/0005021196?sid=102
6,2024-08-13 14:16:00,삼성디스플레이 “AI시대 디스플레이산업 주도”,"멀티모달 AI란 텍스트, 이미지, 소리 등 다양한 형태의 정보를 동시에 이해하고 처리할 수 있는 <b>인공지능</b>을 말한다. 이 부사장은 “멀티모달 AI는 시선이나 손동작을 추적하고, 이를 토대로 시의적절한 이미지 정보를... ",http://www.sentv.co.kr/news/view/693116,http://www.sentv.co.kr/news/view/693116
7,2024-08-13 14:16:00,"에이블리 &quot;남성 패션앱 4910, 누적 다운로드 100만건 돌파&quot;","4910은 '<b>인공지능</b>(AI) 개인화 추천 기술' 기반 남성 전문 스타일 커머스다. '10세부터 49세까지 폭넓은 남성 패션 취향을 반영한다'라는 의미를 가진다. 7월 기준 4910 거래액은 공식 론칭 시점인 3월 대비 110%, 구매 고객... ",http://www.hansbiz.co.kr/news/articleView.html?idxno=707520,http://www.hansbiz.co.kr/news/articleView.html?idxno=707520
8,2024-08-13 14:16:00,"제이슨 권 오픈AI CSO, 강도현 과기정통부 차관과 비공식 회의","13일 업계 관계자에 따르면, 제이슨 권 오픈AI 최고전략책임자(CSO)가 강도현 과기정통부 2차관과 만나 <b>인공지능</b>(AI) 산업과 협력 등에 관한 이야기를 나눴다. 권 CSO는 오픈AI에서 정책, 법률, 사회적 영향 연구 팀을... ",https://www.etnews.com/20240813000251,https://n.news.naver.com/mnews/article/030/0003231378?sid=105
9,2024-08-13 14:16:00,윤석대 수자원공사 사장 “녹조 제거 가용자원 총동원” 지시,"대형 수상 녹조 복합제거선 투입 확대, <b>인공지능</b>(AI) 기반 소형녹조 감시장치를 통한 모니터링 강화, 맛·냄새 원인 물질 제거를 통한 정수 처리 강화 등 환경부를 비롯한 관계기관과 함께 물 환경 개선 방안을 확대·적용할... ",https://www.news1.kr/local/daejeon-chungnam/5509600,https://n.news.naver.com/mnews/article/421/0007727887?sid=102
10,2024-08-13 14:16:00,"도성훈 인천시교육감, 지역연계 '꿈이음대학 성과공유회' 참석","'<b>인공지능</b>과 함께 미리 체험하는 스타트업' 강의를 진행한 가톨릭대학교 교수는 &quot;꿈이음대학에 참여하는 학생들은 어떤 대학생들보다 적극적이고, 기민하게 학습을 받아들여 매 시간마다 굉장히 놀랐다&quot;며 &quot;꿈이음대학은... ",https://www.pointdaily.co.kr/news/articleView.html?idxno=215065,https://www.pointdaily.co.kr/news/articleView.html?idxno=215065
11,2024-08-13 14:14:00,"웅진씽크빅, 메타버스+생성형 AI… 영어 스피킹 ‘링고시티’ 선봬",원만호 웅진씽크빅 DX사업본부장은 “메타버스 공간의 <b>인공지능</b> 캐릭터와 자유롭게 음성으로 대화하는 제품으로 특히 영어 학습에 거부감이 있는 학생들이 쉽게 접근할 수 있도록 개발되었다”며 “게임하듯 즐기다... ,https://biz.newdaily.co.kr/site/data/html/2024/08/13/2024081300045.html,https://biz.newdaily.co.kr/site/data/html/2024/08/13/2024081300045.html
